kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
537021,Běrunice,690,382,382,27,3,0,40,1,28,30,7,4,7,0,0,25,0,6,8,136,1,0,14,0,1,0,1,42,1
537039,Bobnice,666,389,387,37,0,0,33,0,42,31,5,2,3,0,0,27,0,0,23,124,0,1,7,0,0,1,1,50,0
537047,Bříství,268,193,190,26,1,0,18,0,13,12,2,2,1,0,0,16,1,0,3,66,0,0,4,0,3,0,0,22,0
537055,Budiměřice,503,308,308,31,0,0,21,0,16,27,2,1,1,0,0,39,1,0,24,91,1,1,8,0,1,2,0,38,3
599301,Černíky,101,66,64,8,1,0,9,0,6,9,2,0,1,0,0,8,0,1,1,13,0,0,1,0,0,0,0,4,0
599671,Čilec,186,121,119,8,1,0,8,0,11,9,1,2,1,0,0,13,0,0,4,56,0,0,0,0,0,1,0,4,0
537080,Činěves,433,246,243,17,0,0,26,0,13,24,3,0,1,0,4,21,0,0,13,97,0,0,6,0,0,0,0,18,0
537098,Dlouhopolsko,194,139,139,20,0,0,9,0,22,5,1,0,1,0,0,12,0,0,8,48,0,2,0,0,0,0,1,10,0
537101,Dobšice,185,114,114,25,0,0,5,0,7,15,1,1,2,0,0,6,0,3,4,28,0,0,1,0,2,0,0,14,0
537110,Dvory,435,264,264,15,0,0,22,0,20,26,4,2,3,0,0,23,0,0,9,100,0,0,0,1,1,5,0,32,1
537128,Dymokury,691,387,386,36,3,0,20,0,27,29,5,1,4,0,0,25,0,0,60,125,0,1,20,0,1,0,0,29,0
534854,Hořany,106,72,71,5,0,0,9,0,7,6,3,0,2,0,0,7,0,0,7,21,0,0,1,0,0,0,0,3,0
537152,Hořátev,630,405,403,45,2,0,19,1,39,31,5,6,4,0,1,57,0,0,18,138,0,1,7,0,2,2,0,21,4
537161,Hradčany,223,138,138,6,0,0,8,0,19,8,3,2,3,0,0,20,0,0,4,46,0,1,4,0,0,0,0,14,0
537179,Hradištko,516,350,347,74,1,0,24,0,23,10,2,4,4,2,0,32,1,1,32,96,0,0,4,0,4,0,0,32,1
